,delivery_date
NKH20 Index,2020-03-13
NKM20 Index,2020-06-12
NKU20 Index,2020-09-11
NKZ20 Index,2020-12-11
NKH21 Index,2021-03-12
NKM21 Index,2021-06-11
NKU21 Index,2021-09-10
NKZ21 Index,2021-12-10
NKH22 Index,2022-03-11
NKM22 Index,2022-06-10
NKU22 Index,2022-09-09
NKZ22 Index,2022-12-09
NKH23 Index,2023-03-10
NKM23 Index,2023-06-09
NKU23 Index,2023-09-08
NKZ23 Index,2023-12-08
NKH24 Index,2024-03-08
NKM24 Index,2024-06-14
NKU24 Index,2024-09-13
NKZ4 Index,2024-12-13
NKH5 Index,2025-03-14
NKM5 Index,2025-06-13
NKU5 Index,2025-09-12
NKZ5 Index,2025-12-12
JYH20 Curncy,2020-03-18
JYM20 Curncy,2020-06-17
JYU20 Curncy,2020-09-16
JYZ20 Curncy,2020-12-16
JYH21 Curncy,2021-03-17
JYM21 Curncy,2021-06-16
JYU21 Curncy,2021-09-15
JYZ21 Curncy,2021-12-15
JYH22 Curncy,2022-03-16
JYM22 Curncy,2022-06-15
JYU22 Curncy,2022-09-21
JYZ22 Curncy,2022-12-21
JYH23 Curncy,2023-03-15
JYM23 Curncy,2023-06-21
JYU23 Curncy,2023-09-20
JYZ23 Curncy,2023-12-20
JYH24 Curncy,2024-03-21
JYM24 Curncy,2024-06-20
JYU24 Curncy,2024-09-18
JYZ4 Curncy,2024-12-18
JYH5 Curncy,2025-03-19
JYM5 Curncy,2025-06-18
JYU5 Curncy,2025-09-17
JYZ5 Curncy,2025-12-17
